Barometric Pressure (mBar),Inlet Pressure (kPa),Air Flow Pressure (Pa),Oil Pressure (Bar),Fuel Pressure (Bar),Throttle Position (%),Torque (Nm),Engine Speed (rpm),Fuel Flow Rate (cm^3/min),Air Temp. (C),Fuel Temp. (C),Oil Out Temp. (C),Exhaust Temp. (C),Plant In Temp. (C),Cool In Temp. (C),Cool Out Temp. (C),Dyno Out Temp. (C),Oil In Temp. (C),Cal Water In Temp. (C),Cal Water Out Temp. (C),Cal Exhaust In Temp. (C),Cal Exhaust Out Temp. (C)
1036.03,100.50,126.87,3.46,3.14,33.25,32.23,1596.99,43.15,24.11,20.05,69.64,680.97,17.19,73.29,69.16,18.06,72.85,17.65,22.21,116.49,21.50
1036.51,100.78,130.05,3.46,3.12,33.25,32.13,1595.95,42.49,24.16,20.03,69.69,681.41,17.15,72.96,69.00,18.05,72.83,17.55,22.14,116.81,21.49
1037.51,100.32,176.38,3.44,3.13,38.95,45.96,1695.70,52.20,24.70,20.00,73.77,733.26,17.20,78.44,76.12,18.51,77.41,17.61,25.11,170.65,23.12
1038.10,100.60,170.27,3.42,3.13,38.95,46.01,1698.42,52.10,24.66,19.96,73.80,733.25,17.18,78.59,75.63,18.49,77.45,17.71,25.07,171.31,23.20
1036.83,100.60,169.77,3.43,3.14,38.96,46.13,1697.21,52.04,24.71,20.06,73.90,733.57,17.24,78.70,75.22,18.49,77.44,17.62,25.13,171.70,23.16
1036.79,100.35,164.75,3.43,3.14,38.97,46.28,1698.53,52.05,24.68,19.96,73.86,733.74,17.22,78.61,75.00,18.59,77.55,17.66,25.19,171.87,23.14
1038.14,100.59,168.18,3.42,3.13,38.97,46.07,1700.49,51.13,24.77,20.03,73.98,734.01,17.24,78.29,74.69,18.52,77.61,17.63,25.18,172.33,23.17
1037.42,100.81,167.07,3.42,3.12,38.98,46.12,1697.80,52.41,24.73,20.04,74.03,734.27,17.23,77.92,74.36,18.48,77.62,17.59,25.10,172.87,23.13
1036.45,100.47,166.44,3.42,3.12,38.98,46.09,1700.30,51.99,24.62,19.97,73.96,734.40,17.17,77.56,73.91,18.46,77.60,17.60,25.15,173.02,23.12
1037.93,100.30,163.78,3.42,3.12,38.99,45.83,1699.25,51.74,24.68,19.99,74.10,734.68,17.25,77.42,73.46,18.55,77.72,17.65,25.20,173.38,23.18
1037.96,100.59,170.86,3.42,3.13,38.99,46.12,1699.90,51.91,24.71,19.98,74.11,734.86,17.23,77.21,72.98,18.54,77.83,17.61,25.16,173.94,23.15
1036.40,100.47,172.28,3.42,3.14,38.99,46.14,1699.12,52.37,24.72,19.99,74.15,734.96,17.21,76.90,72.46,18.57,77.88,17.67,25.28,174.30,23.13
1037.18,100.29,174.85,3.42,3.14,39.00,46.18,1699.03,52.47,24.66,19.91,74.17,735.16,17.16,76.53,71.93,18.46,77.86,17.59,25.11,174.32,23.02
1036.91,100.13,232.90,3.28,3.11,51.21,65.70,1808.19,71.68,24.77,19.94,80.87,774.86,17.06,73.26,68.76,18.83,84.27,17.45,28.81,235.00,23.69
1037.98,100.30,234.01,3.27,3.13,51.21,65.52,1806.99,72.01,24.75,19.90,81.04,775.22,17.11,73.14,68.69,18.79,84.42,17.46,28.84,235.50,23.78
1038.41,100.63,235.43,3.28,3.14,51.22,65.58,1808.82,72.99,24.71,19.88,81.11,775.36,17.09,72.88,68.58,18.78,84.74,17.43,28.83,236.17,23.76
1038.00,100.57,237.01,3.26,3.11,51.23,65.56,1808.02,71.48,24.67,19.89,81.19,775.55,17.09,72.70,68.45,18.75,84.78,17.44,28.91,236.86,23.77
1036.89,100.61,233.38,3.27,3.12,51.24,65.74,1807.07,72.10,24.65,19.90,81.12,775.79,17.03,72.49,68.45,18.73,84.71,17.38,28.84,237.30,23.74
1036.54,100.34,235.13,3.27,3.13,51.24,65.70,1808.96,72.62,24.68,19.87,81.02,775.85,17.04,72.35,68.44,18.78,84.56,17.39,28.87,237.72,23.77
1036.58,100.22,232.14,3.27,3.12,51.25,65.52,1808.91,72.55,24.72,19.89,81.01,776.23,17.09,72.28,68.57,18.85,84.58,17.48,29.00,238.07,23.78
1037.39,100.15,232.94,3.27,3.13,51.25,65.60,1811.59,72.51,24.71,19.93,81.22,776.43,17.08,72.22,68.65,18.75,84.53,17.43,28.99,238.42,23.88
1038.03,100.23,235.01,3.27,3.11,51.25,65.86,1809.49,72.64,24.73,19.85,81.27,776.67,17.05,72.14,68.71,18.72,84.63,17.42,28.98,238.91,23.86
1038.63,100.47,233.06,3.27,3.11,51.26,65.86,1802.80,73.02,24.69,19.91,81.42,776.94,17.04,72.14,68.89,18.67,84.91,17.45,29.00,239.53,23.88
1038.01,100.62,235.56,3.26,3.13,51.27,66.02,1803.43,73.58,24.72,19.94,81.51,776.98,17.06,72.13,69.05,18.67,84.97,17.38,29.02,240.17,23.82
1037.71,100.84,60.78,3.40,3.15,23.63,8.36,1255.30,5.00,25.26,21.53,72.65,584.32,16.94,74.27,73.31,17.14,74.60,17.05,20.65,204.05,19.53
1038.28,100.87,61.39,3.40,3.15,23.63,8.19,1247.98,4.05,25.24,21.48,72.64,584.72,16.90,74.37,73.42,17.17,74.68,17.13,20.65,203.95,19.56
1038.56,100.76,61.70,3.41,3.15,23.63,8.38,1250.68,0.98,25.24,21.53,72.74,585.11,16.96,74.52,73.56,17.12,74.67,17.12,20.67,203.90,19.59
1038.51,100.72,61.76,3.40,3.15,23.63,8.24,1252.35,2.80,25.27,21.50,72.73,585.49,16.93,74.60,73.66,17.20,74.76,17.14,20.64,203.87,19.54
1038.47,100.60,61.70,3.41,3.15,23.63,8.50,1255.89,4.40,25.21,21.48,72.70,585.92,16.90,74.68,73.76,17.07,74.68,17.08,20.61,203.85,19.52
1038.09,100.42,60.47,3.41,3.15,23.63,8.40,1251.28,4.90,25.24,21.43,72.74,586.17,16.98,74.91,73.98,17.20,74.74,17.18,20.73,203.91,19.62
1037.35,100.42,65.04,3.41,3.16,23.63,8.27,1247.79,2.88,25.31,21.50,72.74,586.35,16.97,74.97,74.04,17.17,74.76,17.12,20.66,204.02,19.54
1036.86,100.57,66.28,3.41,3.15,23.63,8.41,1250.83,2.10,25.24,21.43,72.71,586.60,16.91,75.05,74.08,17.18,74.75,17.15,20.67,204.14,19.59
1036.97,100.67,60.61,3.41,3.14,23.63,8.41,1257.25,4.17,25.31,21.48,72.79,586.86,17.01,75.23,74.31,17.22,74.86,17.15,20.76,204.19,19.58
1037.51,100.83,62.01,3.41,3.14,23.63,8.39,1254.87,3.47,25.30,21.44,72.78,587.01,16.96,75.31,74.38,17.20,74.80,17.16,20.74,204.23,19.54
1038.46,100.83,62.32,3.40,3.15,23.63,8.44,1254.60,1.77,25.32,21.48,72.81,587.11,16.95,75.42,74.45,17.17,74.84,17.17,20.71,204.12,19.60
1037.67,100.33,61.70,3.35,3.14,23.37,11.36,1187.25,3.52,25.21,21.33,75.03,585.29,16.98,73.95,72.88,17.24,77.16,17.19,21.00,208.70,19.49
1037.89,100.40,65.11,3.35,3.14,23.37,11.50,1192.23,4.64,25.21,21.28,74.97,585.03,16.95,74.02,72.99,17.27,77.12,17.17,20.99,208.69,19.53
1037.87,100.38,62.65,3.35,3.14,23.37,11.55,1192.03,2.84,25.24,21.35,75.05,584.87,17.02,74.21,73.19,17.25,77.13,17.23,21.03,208.75,19.52
1037.91,100.37,62.01,3.36,3.14,23.37,11.40,1190.53,2.10,25.25,21.31,75.00,584.61,17.00,74.33,73.33,17.26,77.17,17.23,21.05,208.79,19.54
1038.00,100.45,64.54,3.36,3.14,23.37,11.42,1190.35,4.23,25.27,21.38,75.05,584.46,16.96,74.50,73.47,17.31,77.17,17.22,20.95,208.73,19.49
1038.05,100.41,63.29,3.37,3.14,23.37,11.40,1189.47,4.08,25.20,21.30,74.98,584.25,16.93,74.56,73.53,17.20,77.11,17.16,20.92,208.72,19.51
1037.91,100.33,63.48,3.36,3.14,23.37,11.47,1190.45,2.66,25.12,21.24,74.93,584.08,16.95,74.63,73.66,17.25,77.07,17.16,20.97,208.73,19.44
1037.59,100.36,66.11,3.36,3.14,23.37,11.48,1189.93,3.81,25.15,21.24,74.97,583.98,16.95,74.73,73.76,17.22,77.13,17.21,21.02,208.82,19.49
1037.79,100.38,62.33,3.35,3.14,23.37,11.45,1188.91,4.62,25.15,21.29,74.98,583.90,16.98,74.85,73.87,17.28,77.18,17.23,21.04,208.88,19.50
1037.72,100.36,63.82,3.35,3.14,23.37,11.44,1186.40,2.82,25.20,21.30,75.05,583.80,16.94,74.91,73.95,17.19,77.09,17.18,21.00,208.85,19.47
1037.60,100.30,63.30,3.35,3.14,23.37,11.35,1184.25,2.60,25.22,21.30,75.00,583.64,16.86,75.03,74.09,17.27,77.18,17.22,21.03,208.89,19.43
